Timestamp(ms),Current(uA),D0-D7
164839.69,337.050,00000000
164839.7,337.050,00000000
164839.71,336.147,00000000
164839.72,337.050,00000000
164839.73,336.147,00000000
164839.74,337.954,00000000
164839.75,337.954,00000000
164839.76,337.954,00000000
164839.77,338.406,00000000
164839.78,337.050,00000000
164839.79,337.050,00000000
164839.8,337.954,00000000
164839.81,339.761,00000000
164839.82,340.213,00000000
164839.83,339.309,00000000
164839.84,338.858,00000000
164839.85,339.309,00000000
164839.86,340.665,00000000
164839.87,338.406,00000000
164839.88,339.761,00000000
164839.89,339.761,00000000
164839.9,338.858,00000000
164839.91,337.050,00000000
164839.92,339.309,00000000
164839.93,338.858,00000000
164839.94,338.858,00000000
164839.95,338.858,00000000
164839.96,339.309,00000000
164839.97,338.406,00000000
164839.98,338.406,00000000
164839.99,336.599,00000000
164840,337.502,00000000
164840.01,337.502,00000000
164840.02,336.147,00000000
164840.03,336.147,00000000
164840.04,336.147,00000000
164840.05,336.599,00000000
164840.06,336.147,00000000
164840.07,336.599,00000000
164840.08,336.147,00000000
164840.09,336.599,00000000
164840.1,335.695,00000000
164840.11,336.147,00000000
164840.12,337.502,00000000
164840.13,339.309,00000000
164840.14,336.599,00000000
164840.15,337.502,00000000
164840.16,335.695,00000000
164840.17,335.244,00000000
164840.18,336.147,00000000
164840.19,335.244,00000000
164840.2,335.244,00000000
164840.21,336.599,00000000
164840.22,336.147,00000000
164840.23,335.695,00000000
164840.24,335.244,00000000
164840.25,334.792,00000000
164840.26,335.244,00000000
164840.27,335.695,00000000
164840.28,334.792,00000000
164840.29,334.341,00000000
164840.3,335.244,00000000
164840.31,334.341,00000000
164840.32,335.695,00000000
164840.33,335.695,00000000
164840.34,334.341,00000000
164840.35,335.244,00000000
164840.36,336.599,00000000
164840.37,335.695,00000000
164840.38,337.954,00000000
164840.39,336.147,00000000
164840.4,337.502,00000000
164840.41,336.599,00000000
164840.42,337.502,00000000
164840.43,339.309,00000000
164840.44,337.502,00000000
164840.45,336.599,00000000
164840.46,335.695,00000000
164840.47,336.599,00000000
164840.48,337.050,00000000
164840.49,334.792,00000000
164840.5,335.695,00000000
164840.51,337.050,00000000
164840.52,336.599,00000000
164840.53,335.244,00000000
164840.54,335.244,00000000
164840.55,336.599,00000000
164840.56,335.695,00000000
164840.57,335.695,00000000
164840.58,335.244,00000000
164840.59,334.341,00000000
164840.6,336.147,00000000
164840.61,336.147,00000000
164840.62,336.147,00000000
164840.63,335.244,00000000
164840.64,336.599,00000000
164840.65,334.341,00000000
164840.66,335.244,00000000
164840.67,333.438,00000000
164840.68,337.050,00000000
164840.69,335.695,00000000
164840.7,335.695,00000000
164840.71,336.599,00000000
164840.72,335.244,00000000
164840.73,336.147,00000000
164840.74,335.695,00000000
164840.75,335.244,00000000
164840.76,334.341,00000000
164840.77,333.889,00000000
164840.78,335.244,00000000
164840.79,334.341,00000000
164840.8,335.695,00000000
164840.81,337.502,00000000
164840.82,336.599,00000000
164840.83,336.599,00000000
164840.84,337.502,00000000
164840.85,336.599,00000000
164840.86,337.050,00000000
164840.87,336.599,00000000
164840.88,337.050,00000000
164840.89,336.147,00000000
164840.9,337.050,00000000
164840.91,333.889,00000000
164840.92,338.406,00000000
164840.93,334.792,00000000
164840.94,336.147,00000000
164840.95,335.695,00000000
164840.96,334.792,00000000
164840.97,335.695,00000000
164840.98,336.599,00000000
164840.99,335.244,00000000
164841,335.695,00000000
164841.01,336.147,00000000
164841.02,334.792,00000000
164841.03,334.341,00000000
164841.04,334.792,00000000
164841.05,335.695,00000000
164841.06,335.695,00000000
164841.07,335.695,00000000
164841.08,336.147,00000000
164841.09,336.599,00000000
164841.1,336.147,00000000
164841.11,336.599,00000000
164841.12,336.599,00000000
164841.13,336.147,00000000
164841.14,334.792,00000000
164841.15,335.695,00000000
164841.16,334.341,00000000
164841.17,335.244,00000000
164841.18,336.599,00000000
164841.19,336.599,00000000
164841.2,337.050,00000000
164841.21,336.147,00000000
164841.22,334.341,00000000
164841.23,336.599,00000000
164841.24,335.244,00000000
164841.25,335.244,00000000
164841.26,335.244,00000000
164841.27,334.341,00000000
164841.28,334.792,00000000
164841.29,332.084,00000000
164841.3,334.341,00000000
