Timestamp(ms),Current(uA),D0-D7
105936.45,328.024,00000000
105936.46,329.828,00000000
105936.47,331.633,00000000
105936.48,334.341,00000000
105936.49,333.889,00000000
105936.5,335.695,00000000
105936.51,331.181,00000000
105936.52,329.377,00000000
105936.53,329.828,00000000
105936.54,331.181,00000000
105936.55,333.889,00000000
105936.56,336.599,00000000
105936.57,336.147,00000000
105936.58,333.438,00000000
105936.59,328.475,00000000
105936.6,328.926,00000000
105936.61,329.828,00000000
105936.62,332.084,00000000
105936.63,334.792,00000000
105936.64,336.599,00000000
105936.65,335.695,00000000
105936.66,332.987,00000000
105936.67,331.181,00000000
105936.68,332.987,00000000
105936.69,332.084,00000000
105936.7,332.084,00000000
105936.71,333.889,00000000
105936.72,336.599,00000000
105936.73,334.341,00000000
105936.74,328.926,00000000
105936.75,330.279,00000000
105936.76,331.181,00000000
105936.77,333.889,00000000
105936.78,335.695,00000000
105936.79,337.050,00000000
105936.8,336.599,00000000
105936.81,334.341,00000000
105936.82,331.633,00000000
105936.83,333.889,00000000
105936.84,334.792,00000000
105936.85,336.147,00000000
105936.86,338.406,00000000
105936.87,336.147,00000000
105936.88,336.147,00000000
105936.89,332.987,00000000
105936.9,331.633,00000000
105936.91,333.889,00000000
105936.92,332.535,00000000
105936.93,336.599,00000000
105936.94,337.502,00000000
105936.95,337.050,00000000
105936.96,332.535,00000000
105936.97,331.181,00000000
105936.98,331.181,00000000
105936.99,330.730,00000000
105937,334.792,00000000
105937.01,336.147,00000000
105937.02,338.406,00000000
105937.03,336.599,00000000
105937.04,331.181,00000000
105937.05,329.828,00000000
105937.06,330.730,00000000
105937.07,332.535,00000000
105937.08,335.244,00000000
105937.09,336.599,00000000
105937.1,335.244,00000000
105937.11,334.341,00000000
105937.12,331.181,00000000
105937.13,330.730,00000000
105937.14,332.535,00000000
105937.15,335.244,00000000
105937.16,336.599,00000000
105937.17,337.502,00000000
105937.18,335.244,00000000
105937.19,332.535,00000000
105937.2,331.181,00000000
105937.21,331.181,00000000
105937.22,333.438,00000000
105937.23,336.599,00000000
105937.24,336.147,00000000
105937.25,338.406,00000000
105937.26,335.695,00000000
105937.27,332.084,00000000
105937.28,330.730,00000000
105937.29,334.341,00000000
105937.3,334.341,00000000
105937.31,338.406,00000000
105937.32,337.502,00000000
105937.33,336.147,00000000
105937.34,333.438,00000000
105937.35,332.535,00000000
105937.36,330.730,00000000
105937.37,331.181,00000000
105937.38,335.695,00000000
105937.39,339.761,00000000
105937.4,337.502,00000000
105937.41,335.244,00000000
105937.42,332.535,00000000
105937.43,331.633,00000000
105937.44,332.535,00000000
105937.45,333.438,00000000
105937.46,336.147,00000000
105937.47,337.954,00000000
105937.48,338.406,00000000
105937.49,333.438,00000000
105937.5,332.535,00000000
105937.51,332.987,00000000
105937.52,333.889,00000000
105937.53,335.695,00000000
105937.54,338.858,00000000
105937.55,339.309,00000000
105937.56,337.050,00000000
105937.57,332.535,00000000
105937.58,334.341,00000000
105937.59,333.889,00000000
105937.6,335.695,00000000
105937.61,338.406,00000000
105937.62,338.858,00000000
105937.63,339.761,00000000
105937.64,337.050,00000000
105937.65,332.535,00000000
105937.66,333.889,00000000
105937.67,334.792,00000000
