Timestamp(ms),Current(uA),D0-D7
106126.79,335.244,00000000
106126.8,331.633,00000000
106126.81,333.889,00000000
106126.82,333.438,00000000
106126.83,336.147,00000000
106126.84,339.309,00000000
106126.85,340.213,00000000
106126.86,338.406,00000000
106126.87,333.438,00000000
106126.88,332.084,00000000
106126.89,335.244,00000000
106126.9,334.341,00000000
106126.91,337.050,00000000
106126.92,338.858,00000000
106126.93,338.406,00000000
106126.94,337.050,00000000
106126.95,333.889,00000000
106126.96,335.695,00000000
106126.97,336.147,00000000
106126.98,338.406,00000000
106126.99,337.954,00000000
106127,341.117,00000000
106127.01,337.050,00000000
106127.02,335.695,00000000
106127.03,334.341,00000000
106127.04,334.792,00000000
106127.05,335.244,00000000
106127.06,337.954,00000000
106127.07,339.761,00000000
106127.08,338.406,00000000
106127.09,335.244,00000000
106127.1,333.889,00000000
106127.11,332.987,00000000
106127.12,332.987,00000000
106127.13,334.792,00000000
106127.14,338.406,00000000
106127.15,337.050,00000000
106127.16,337.050,00000000
106127.17,332.987,00000000
106127.18,330.730,00000000
106127.19,332.084,00000000
106127.2,334.792,00000000
106127.21,336.599,00000000
106127.22,337.954,00000000
106127.23,337.050,00000000
106127.24,336.599,00000000
106127.25,330.730,00000000
106127.26,332.535,00000000
106127.27,332.987,00000000
106127.28,334.341,00000000
106127.29,337.050,00000000
106127.3,339.309,00000000
106127.31,337.050,00000000
106127.32,332.535,00000000
106127.33,332.535,00000000
106127.34,333.438,00000000
106127.35,334.341,00000000
106127.36,338.406,00000000
106127.37,338.858,00000000
106127.38,340.665,00000000
106127.39,337.050,00000000
106127.4,333.438,00000000
106127.41,332.535,00000000
106127.42,335.244,00000000
106127.43,337.050,00000000
106127.44,338.858,00000000
106127.45,338.858,00000000
106127.46,337.954,00000000
106127.47,334.792,00000000
106127.48,334.341,00000000
106127.49,334.341,00000000
106127.5,334.792,00000000
106127.51,337.502,00000000
106127.52,339.761,00000000
106127.53,340.665,00000000
106127.54,337.954,00000000
106127.55,336.147,00000000
106127.56,335.244,00000000
106127.57,332.987,00000000
106127.58,336.147,00000000
106127.59,338.858,00000000
106127.6,341.569,00000000
106127.61,339.761,00000000
106127.62,338.406,00000000
106127.63,334.341,00000000
106127.64,334.792,00000000
106127.65,335.695,00000000
106127.66,337.954,00000000
106127.67,339.761,00000000
106127.68,340.213,00000000
106127.69,338.406,00000000
106127.7,333.438,00000000
106127.71,333.438,00000000
106127.72,335.244,00000000
106127.73,338.406,00000000
106127.74,337.954,00000000
106127.75,339.761,00000000
106127.76,338.858,00000000
106127.77,336.599,00000000
106127.78,331.633,00000000
106127.79,332.987,00000000
106127.8,335.244,00000000
106127.81,336.599,00000000
106127.82,338.858,00000000
106127.83,339.761,00000000
106127.84,339.761,00000000
106127.85,337.502,00000000
106127.86,333.889,00000000
