Timestamp(ms),Current(uA),D0-D7
18283.36,321.715,00000000
18283.37,321.715,00000000
18283.38,319.463,00000000
18283.39,315.413,00000000
18283.4,314.513,00000000
18283.41,316.313,00000000
18283.42,318.113,00000000
18283.43,319.013,00000000
18283.44,321.715,00000000
18283.45,319.013,00000000
18283.46,314.513,00000000
18283.47,315.863,00000000
18283.48,315.863,00000000
18283.49,316.763,00000000
18283.5,319.463,00000000
18283.51,321.264,00000000
18283.52,320.814,00000000
18283.53,318.113,00000000
18283.54,313.164,00000000
18283.55,314.063,00000000
18283.56,314.063,00000000
18283.57,316.763,00000000
18283.58,319.463,00000000
18283.59,319.013,00000000
18283.6,319.013,00000000
18283.61,316.313,00000000
18283.62,314.513,00000000
18283.63,314.063,00000000
18283.64,314.063,00000000
18283.65,315.863,00000000
18283.66,316.313,00000000
18283.67,316.313,00000000
18283.68,317.213,00000000
18283.69,313.164,00000000
18283.7,311.366,00000000
18283.71,310.916,00000000
18283.72,313.164,00000000
18283.73,314.513,00000000
18283.74,316.313,00000000
18283.75,314.063,00000000
18283.76,313.614,00000000
18283.77,309.568,00000000
18283.78,311.366,00000000
18283.79,311.366,00000000
18283.8,312.714,00000000
18283.81,315.413,00000000
18283.82,317.213,00000000
18283.83,315.863,00000000
18283.84,311.815,00000000
18283.85,310.916,00000000
18283.86,309.119,00000000
18283.87,312.265,00000000
18283.88,313.614,00000000
18283.89,316.763,00000000
18283.9,314.513,00000000
18283.91,316.313,00000000
18283.92,311.366,00000000
18283.93,310.017,00000000
18283.94,310.916,00000000
18283.95,312.265,00000000
18283.96,314.063,00000000
18283.97,315.863,00000000
18283.98,316.313,00000000
18283.99,314.963,00000000
18284,311.366,00000000
18284.01,310.467,00000000
18284.02,310.467,00000000
18284.03,310.916,00000000
18284.04,314.063,00000000
18284.05,317.213,00000000
18284.06,314.513,00000000
18284.07,312.714,00000000
18284.08,309.119,00000000
18284.09,311.366,00000000
18284.1,313.614,00000000
18284.11,315.863,00000000
18284.12,315.863,00000000
18284.13,317.213,00000000
18284.14,314.963,00000000
18284.15,311.366,00000000
18284.16,309.119,00000000
18284.17,311.366,00000000
18284.18,312.265,00000000
