Timestamp(ms),Current(uA),D0-D7
165851.09,327.573,00000000
165851.1,328.926,00000000
165851.11,327.573,00000000
165851.12,330.279,00000000
165851.13,329.377,00000000
165851.14,328.926,00000000
165851.15,327.122,00000000
165851.16,328.024,00000000
165851.17,329.377,00000000
165851.18,329.828,00000000
165851.19,329.828,00000000
165851.2,329.377,00000000
165851.21,330.730,00000000
165851.22,328.475,00000000
165851.23,328.926,00000000
165851.24,330.279,00000000
165851.25,328.475,00000000
165851.26,329.828,00000000
165851.27,331.181,00000000
165851.28,330.279,00000000
165851.29,330.279,00000000
165851.3,328.926,00000000
165851.31,331.181,00000000
165851.32,332.084,00000000
165851.33,330.730,00000000
165851.34,331.633,00000000
165851.35,332.535,00000000
165851.36,330.730,00000000
165851.37,330.730,00000000
165851.38,330.279,00000000
165851.39,330.279,00000000
165851.4,328.926,00000000
165851.41,329.828,00000000
165851.42,330.279,00000000
165851.43,331.181,00000000
165851.44,328.926,00000000
165851.45,330.279,00000000
165851.46,330.279,00000000
165851.47,330.279,00000000
165851.48,329.828,00000000
165851.49,329.377,00000000
165851.5,328.926,00000000
165851.51,330.279,00000000
165851.52,330.279,00000000
165851.53,328.926,00000000
165851.54,330.730,00000000
165851.55,331.633,00000000
165851.56,331.181,00000000
165851.57,331.633,00000000
165851.58,331.633,00000000
165851.59,331.181,00000000
165851.6,330.730,00000000
165851.61,330.730,00000000
165851.62,332.084,00000000
165851.63,330.730,00000000
165851.64,330.730,00000000
165851.65,331.181,00000000
165851.66,330.730,00000000
165851.67,330.730,00000000
165851.68,333.889,00000000
165851.69,332.084,00000000
165851.7,332.535,00000000
165851.71,331.181,00000000
165851.72,331.633,00000000
165851.73,332.987,00000000
165851.74,332.987,00000000
165851.75,332.084,00000000
165851.76,330.730,00000000
165851.77,332.987,00000000
165851.78,332.084,00000000
165851.79,330.730,00000000
165851.8,332.987,00000000
165851.81,330.730,00000000
165851.82,332.535,00000000
165851.83,333.889,00000000
165851.84,332.084,00000000
165851.85,331.633,00000000
165851.86,330.730,00000000
165851.87,334.792,00000000
165851.88,331.181,00000000
165851.89,331.181,00000000
165851.9,332.535,00000000
165851.91,331.633,00000000
165851.92,334.792,00000000
165851.93,332.987,00000000
165851.94,332.535,00000000
165851.95,334.792,00000000
165851.96,333.438,00000000
165851.97,332.535,00000000
165851.98,333.889,00000000
165851.99,334.341,00000000
165852,333.438,00000000
165852.01,334.341,00000000
165852.02,333.438,00000000
165852.03,332.084,00000000
165852.04,334.792,00000000
165852.05,333.889,00000000
165852.06,332.535,00000000
165852.07,332.535,00000000
165852.08,334.341,00000000
165852.09,333.438,00000000
165852.1,332.535,00000000
165852.11,332.084,00000000
165852.12,332.535,00000000
165852.13,332.987,00000000
165852.14,332.987,00000000
165852.15,331.181,00000000
165852.16,332.535,00000000
165852.17,333.889,00000000
165852.18,333.438,00000000
165852.19,332.535,00000000
165852.2,333.889,00000000
165852.21,334.792,00000000
165852.22,334.792,00000000
165852.23,332.084,00000000
165852.24,333.889,00000000
165852.25,333.889,00000000
165852.26,335.244,00000000
165852.27,332.535,00000000
165852.28,333.438,00000000
165852.29,335.695,00000000
165852.3,335.695,00000000
165852.31,334.792,00000000
165852.32,334.792,00000000
165852.33,334.792,00000000
165852.34,334.341,00000000
165852.35,334.341,00000000
165852.36,333.889,00000000
165852.37,334.792,00000000
165852.38,334.341,00000000
165852.39,333.889,00000000
165852.4,334.792,00000000
165852.41,333.438,00000000
165852.42,332.535,00000000
165852.43,332.987,00000000
165852.44,333.438,00000000
165852.45,333.438,00000000
165852.46,333.438,00000000
165852.47,331.633,00000000
165852.48,332.535,00000000
165852.49,332.535,00000000
165852.5,332.987,00000000
165852.51,333.438,00000000
165852.52,334.341,00000000
165852.53,333.438,00000000
165852.54,333.889,00000000
165852.55,335.244,00000000
165852.56,333.889,00000000
165852.57,334.341,00000000
165852.58,334.792,00000000
165852.59,334.341,00000000
165852.6,335.695,00000000
165852.61,334.792,00000000
165852.62,336.147,00000000
165852.63,333.889,00000000
165852.64,334.792,00000000
165852.65,334.792,00000000
165852.66,335.695,00000000
165852.67,332.987,00000000
165852.68,334.792,00000000
165852.69,333.438,00000000
165852.7,333.438,00000000
165852.71,333.438,00000000
165852.72,335.244,00000000
165852.73,332.535,00000000
165852.74,333.889,00000000
165852.75,334.792,00000000
165852.76,332.535,00000000
165852.77,333.438,00000000
165852.78,332.987,00000000
165852.79,335.695,00000000
165852.8,335.244,00000000
165852.81,335.244,00000000
165852.82,336.599,00000000
165852.83,334.792,00000000
165852.84,335.695,00000000
165852.85,335.244,00000000
165852.86,333.889,00000000
165852.87,335.244,00000000
165852.88,334.341,00000000
165852.89,335.695,00000000
165852.9,335.244,00000000
165852.91,333.438,00000000
165852.92,334.792,00000000
165852.93,336.599,00000000
165852.94,335.244,00000000
165852.95,334.792,00000000
165852.96,334.792,00000000
165852.97,335.244,00000000
165852.98,335.695,00000000
165852.99,335.244,00000000
165853,334.792,00000000
165853.01,335.695,00000000
165853.02,334.341,00000000
165853.03,334.792,00000000
165853.04,335.244,00000000
165853.05,336.599,00000000
165853.06,336.147,00000000
165853.07,336.599,00000000
