Timestamp(ms),Current(uA),D0-D7
39638.82,214.730,00000000
39638.83,212.084,00000000
39638.84,215.171,00000000
39638.85,214.289,00000000
39638.86,212.966,00000000
39638.87,212.966,00000000
39638.88,213.848,00000000
39638.89,212.966,00000000
39638.9,213.407,00000000
39638.91,214.289,00000000
39638.92,212.966,00000000
39638.93,213.407,00000000
39638.94,214.730,00000000
39638.95,212.966,00000000
39638.96,213.848,00000000
39638.97,215.171,00000000
39638.98,215.612,00000000
39638.99,216.495,00000000
39639,215.612,00000000
39639.01,216.054,00000000
39639.02,216.495,00000000
39639.03,216.936,00000000
39639.04,215.612,00000000
39639.05,216.936,00000000
39639.06,217.378,00000000
39639.07,215.612,00000000
39639.08,216.495,00000000
39639.09,218.702,00000000
39639.1,216.495,00000000
39639.11,216.936,00000000
39639.12,218.702,00000000
39639.13,216.936,00000000
39639.14,218.260,00000000
39639.15,216.495,00000000
39639.16,217.819,00000000
39639.17,216.495,00000000
39639.18,218.702,00000000
39639.19,217.378,00000000
39639.2,217.819,00000000
39639.21,217.819,00000000
39639.22,218.702,00000000
39639.23,219.143,00000000
39639.24,218.702,00000000
39639.25,218.260,00000000
39639.26,218.702,00000000
39639.27,218.260,00000000
39639.28,220.027,00000000
39639.29,218.702,00000000
39639.3,218.702,00000000
39639.31,218.702,00000000
39639.32,220.910,00000000
39639.33,218.702,00000000
39639.34,218.260,00000000
39639.35,219.585,00000000
39639.36,220.468,00000000
39639.37,220.027,00000000
39639.38,220.468,00000000
39639.39,220.468,00000000
39639.4,219.585,00000000
39639.41,219.585,00000000
39639.42,219.585,00000000
39639.43,222.235,00000000
39639.44,218.702,00000000
39639.45,220.468,00000000
39639.46,221.352,00000000
39639.47,221.793,00000000
39639.48,221.352,00000000
39639.49,222.235,00000000
39639.5,221.793,00000000
39639.51,221.793,00000000
39639.52,222.677,00000000
39639.53,221.352,00000000
39639.54,222.235,00000000
39639.55,222.235,00000000
39639.56,220.027,00000000
39639.57,220.910,00000000
39639.58,220.468,00000000
39639.59,219.585,00000000
39639.6,220.910,00000000
39639.61,222.235,00000000
39639.62,219.585,00000000
39639.63,220.468,00000000
39639.64,220.468,00000000
39639.65,220.910,00000000
39639.66,221.352,00000000
39639.67,219.585,00000000
39639.68,220.910,00000000
39639.69,221.352,00000000
39639.7,219.585,00000000
39639.71,220.910,00000000
39639.72,222.235,00000000
39639.73,221.352,00000000
39639.74,221.793,00000000
39639.75,221.793,00000000
39639.76,223.119,00000000
39639.77,223.561,00000000
39639.78,223.119,00000000
39639.79,221.793,00000000
39639.8,224.887,00000000
39639.81,224.887,00000000
39639.82,224.445,00000000
39639.83,222.677,00000000
39639.84,225.771,00000000
39639.85,224.445,00000000
39639.86,226.213,00000000
39639.87,225.771,00000000
39639.88,224.887,00000000
39639.89,223.561,00000000
39639.9,225.329,00000000
39639.91,225.771,00000000
39639.92,227.539,00000000
39639.93,225.329,00000000
39639.94,223.561,00000000
39639.95,224.887,00000000
39639.96,224.445,00000000
39639.97,225.771,00000000
39639.98,224.887,00000000
39639.99,226.655,00000000
39640,225.771,00000000
39640.01,225.771,00000000
39640.02,225.771,00000000
39640.03,226.213,00000000
39640.04,224.887,00000000
39640.05,224.445,00000000
39640.06,225.771,00000000
39640.07,224.445,00000000
39640.08,224.445,00000000
39640.09,225.329,00000000
39640.1,223.561,00000000
39640.11,225.329,00000000
39640.12,225.771,00000000
39640.13,225.771,00000000
39640.14,225.771,00000000
39640.15,225.329,00000000
39640.16,225.771,00000000
39640.17,226.655,00000000
39640.18,226.213,00000000
39640.19,225.329,00000000
39640.2,225.771,00000000
39640.21,224.445,00000000
39640.22,226.213,00000000
39640.23,227.539,00000000
39640.24,226.213,00000000
39640.25,227.982,00000000
39640.26,228.866,00000000
39640.27,228.424,00000000
39640.28,227.982,00000000
39640.29,227.097,00000000
39640.3,228.424,00000000
39640.31,228.866,00000000
39640.32,227.097,00000000
39640.33,228.424,00000000
39640.34,229.309,00000000
39640.35,228.866,00000000
39640.36,227.982,00000000
39640.37,229.309,00000000
39640.38,229.309,00000000
39640.39,229.309,00000000
39640.4,229.751,00000000
39640.41,228.866,00000000
39640.42,228.424,00000000
39640.43,229.751,00000000
39640.44,228.424,00000000
39640.45,228.424,00000000
39640.46,228.424,00000000
39640.47,230.636,00000000
39640.48,228.866,00000000
39640.49,228.866,00000000
39640.5,229.309,00000000
39640.51,229.751,00000000
39640.52,230.636,00000000
39640.53,231.521,00000000
39640.54,231.521,00000000
39640.55,230.636,00000000
39640.56,230.194,00000000
39640.57,231.964,00000000
39640.58,231.964,00000000
39640.59,232.407,00000000
39640.6,232.849,00000000
39640.61,231.964,00000000
39640.62,232.407,00000000
39640.63,233.735,00000000
39640.64,231.521,00000000
39640.65,234.178,00000000
39640.66,232.407,00000000
39640.67,233.292,00000000
39640.68,232.849,00000000
39640.69,232.849,00000000
39640.7,231.964,00000000
39640.71,232.849,00000000
39640.72,234.620,00000000
39640.73,234.620,00000000
39640.74,234.178,00000000
39640.75,232.849,00000000
39640.76,234.178,00000000
39640.77,233.735,00000000
39640.78,234.178,00000000
39640.79,235.063,00000000
39640.8,234.620,00000000
39640.81,234.178,00000000
39640.82,234.620,00000000
